,epic_name,tm_name,epic_candname,pl_name,ra,ra_err,ra_str,dec,dec_err,dec_str,k2c_disp,k2c_refdisp,k2c_reflink,k2c_note,k2c_recentflag,k2_campaign_str,st_plx,st_plxerr1,st_plxerr2,st_plxlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metratio,st_rad,st_raderr1,st_raderr2,st_radlim,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_kep,st_keperr,st_keplim,st_bj,st_bjerr,st_bjlim,st_vj,st_vjerr,st_vjlim,st_us,st_userr,st_uslim,st_gs,st_gserr,st_gslim,st_rs,st_rserr,st_rslim,st_is,st_iserr,st_islim,st_zs,st_zserr,st_zslim,st_j2,st_j2err,st_j2lim,st_h2,st_h2err,st_h2lim,st_k2,st_k2err,st_k2lim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim,st_bmvj,st_bmvjerr,st_bmvjlim,st_jmh2,st_jmh2err,st_jmh2lim,st_hmk2,st_hmk2err,st_hmk2lim,st_jmk2,st_jmk2err,st_jmk2lim,pl_fppprob,pl_fppproblim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_tranflag
0,EPIC 205999468,2MASS J22213759-1450221,EPIC 205999468.01,,335.40662000000003,0.0,22h21m37.59s,-14.839479999999998,0.0,-14d50m22.1s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,0,3.0,,,,,,,,,4980.0,,,0.0,,,,,,,,,,0.76,,,0.0,,,,,12.932,,0.0,14.062000000000001,0.02,0.0,13.190999999999999,0.032,0.0,,,,13.583,0.032,0.0,12.91,0.040999999999999995,0.0,12.652999999999999,0.062,0.0,,,,11.591,0.026000000000000002,0.0,11.092,0.023,0.0,11.011,0.024,0.0,10.96,0.022000000000000002,0.0,11.034,0.022000000000000002,0.0,10.970999999999998,0.14400000000000002,0.0,8.785,,-1.0,0.871,0.038,0.0,0.499,0.035,0.0,0.081,0.033,0.0,0.58,0.035,0.0,,,12.263354,,,0,2456984.094,,,0,0.0681,,,0.0,0.06083330000000001,,,0.0,,,,,0.73,,,0.0,,,,,0.026,,,0.0,0.193,,,0.0,2.16,,,0.0,,,,,1
1,EPIC 206007892,2MASS J22281062-1435577,EPIC 206007892.01,,337.04427000000004,0.0,22h28m10.62s,-14.599381,0.0,-14d35m57.8s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,1,3.0,,,,,,,,,5347.0,,,0.0,,,,,,,,,,0.83,,,0.0,,,,,12.023,,0.0,12.966,0.01,0.0,12.229000000000001,0.06,0.0,,,,12.517000000000001,0.02,0.0,11.962,0.04,0.0,11.811,0.04,0.0,,,,10.790999999999999,0.021,0.0,10.458,0.024,0.0,10.370999999999999,0.021,0.0,10.343,0.023,0.0,10.402999999999999,0.02,0.0,10.253,0.064,0.0,9.068999999999999,,-1.0,0.737,0.061,0.0,0.33299999999999996,0.032,0.0,0.087,0.032,0.0,0.42,0.03,0.0,,,6.37961,,,0,2456982.017,,,0,0.0239,,,0.0,0.11583330000000001,,,0.0,,,,,0.1,,,0.0,,,,,0.013880000000000002,,,0.0,0.126,,,0.0,1.41,,,0.0,,,,,1
2,EPIC 206008091,2MASS J22214817-1435359,EPIC 206008091.01,,335.450723,0.0,22h21m48.17s,-14.593285999999999,0.0,-14d35m35.8s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,1,3.0,,,,,,,,,5749.0,,,0.0,,,,,,,,,,0.98,,,0.0,,,,,12.505999999999998,,0.0,13.274000000000001,0.042,0.0,12.633,0.031,0.0,,,,12.91,0.031,0.0,12.48,0.040999999999999995,0.0,12.333,0.061,0.0,,,,11.445,0.023,0.0,11.144,0.021,0.0,11.075,0.021,0.0,11.050999999999998,0.023,0.0,11.091,0.021,0.0,10.870999999999999,0.113,0.0,8.752,,-1.0,0.6409999999999999,0.052000000000000005,0.0,0.301,0.031,0.0,0.069,0.03,0.0,0.37,0.031,0.0,,,12.400731,,,0,2456985.665,,,0,0.032,,,0.0,0.16875,,,0.0,,,,,0.21,,,0.0,,,,,0.01629,,,0.0,0.171,,,0.0,1.92,,,0.0,,,,,1
3,EPIC 206008091,2MASS J22214817-1435359,EPIC 206008091.02,,335.450723,0.0,22h21m48.17s,-14.593285999999999,0.0,-14d35m35.8s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,1,3.0,,,,,,,,,5749.0,,,0.0,,,,,,,,,,0.98,,,0.0,,,,,12.505999999999998,,0.0,13.274000000000001,0.042,0.0,12.633,0.031,0.0,,,,12.91,0.031,0.0,12.48,0.040999999999999995,0.0,12.333,0.061,0.0,,,,11.445,0.023,0.0,11.144,0.021,0.0,11.075,0.021,0.0,11.050999999999998,0.023,0.0,11.091,0.021,0.0,10.870999999999999,0.113,0.0,8.752,,-1.0,0.6409999999999999,0.052000000000000005,0.0,0.301,0.031,0.0,0.069,0.03,0.0,0.37,0.031,0.0,,,7.5767206,,,0,2456986.184,,,0,0.0196,,,0.0,0.15041670000000001,,,0.0,,,,,0.36,,,0.0,,,,,0.01287,,,0.0,0.134,,,0.0,1.5,,,0.0,,,,,1
4,EPIC 206011496,2MASS J22480755-1429407,EPIC 206011496.01,,342.031525,0.0,22h48m07.57s,-14.494689000000001,0.0,-14d29m40.9s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,0,3.0,,,,,,,,,5261.0,,,0.0,,,,,,,,,,0.81,,,0.0,,,,,10.915999999999999,,0.0,11.972000000000001,0.153,0.0,11.187000000000001,0.10099999999999999,0.0,,,,11.389000000000001,0.01,0.0,10.9,0.03,0.0,10.714,0.09,0.0,,,,9.726,0.026000000000000002,0.0,9.312000000000001,0.022000000000000002,0.0,9.259,0.027000000000000003,0.0,9.177999999999999,0.022000000000000002,0.0,9.213,0.02,0.0,9.162,0.04,0.0,8.502,,-1.0,0.785,0.183,0.0,0.414,0.034,0.0,0.053,0.035,0.0,0.467,0.037000000000000005,0.0,,,2.3690438,,,0,2456981.645,,,0,0.0338,,,0.0,0.09583330000000001,,,0.0,,,,,0.28,,,0.0,,,,,0.01662,,,0.0,0.145,,,0.0,1.63,,,0.0,,,,,1
5,EPIC 206011691,2MASS J22411288-1429202,EPIC 206011691.01,K2-21 b,340.303689,0.0,22h41m12.89s,-14.488987,0.0,-14d29m20.4s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,0,3.0,,,,,,,,,4024.0,,,0.0,,,,,,,,,,0.6,,,0.0,,,,,12.315999999999999,,0.0,14.14,0.06,0.0,12.85,0.02,0.0,,,,,,,,,,,,,,,,10.251,0.021,0.0,9.633,0.021,0.0,9.417,0.02,0.0,9.407,0.023,0.0,9.379,0.02,0.0,9.399,0.042,0.0,9.031,0.528,0.0,1.29,0.06,0.0,0.618,0.03,0.0,0.21600000000000003,0.028999999999999998,0.0,0.8340000000000001,0.028999999999999998,0.0,,,9.3251498,,,0,2456980.096,,,0,0.0821,,,0.0,0.1045833,,,0.0,,,,,0.54,,,0.0,,,,,0.02673,,,0.0,0.16899999999999998,,,0.0,1.89,,,0.0,,,,,1
6,EPIC 206011691,2MASS J22411288-1429202,EPIC 206011691.02,K2-21 c,340.303689,0.0,22h41m12.89s,-14.488987,0.0,-14d29m20.4s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,0,3.0,,,,,,,,,4024.0,,,0.0,,,,,,,,,,0.6,,,0.0,,,,,12.315999999999999,,0.0,14.14,0.06,0.0,12.85,0.02,0.0,,,,,,,,,,,,,,,,10.251,0.021,0.0,9.633,0.021,0.0,9.417,0.02,0.0,9.407,0.023,0.0,9.379,0.02,0.0,9.399,0.042,0.0,9.031,0.528,0.0,1.29,0.06,0.0,0.618,0.03,0.0,0.21600000000000003,0.028999999999999998,0.0,0.8340000000000001,0.028999999999999998,0.0,,,15.504102,,,0,2456988.466,,,0,0.12,,,0.0,0.09458330000000001,,,0.0,,,,,0.0,,,0.0,,,,,0.030989999999999997,,,0.0,0.204,,,0.0,2.29,,,0.0,,,,,1
7,EPIC 206024342,2MASS J22050653-1407180,EPIC 206024342.01,,331.277219,0.0,22h05m06.53s,-14.121665,0.0,-14d07m18.0s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,0,3.0,,,,,,,,,5648.0,,,0.0,,,,,,,,,,0.94,,,0.0,,,,,13.046,,0.0,13.770999999999999,0.04,0.0,13.116,0.03,0.0,,,,13.392000000000001,0.04,0.0,12.937000000000001,0.05,0.0,12.897,0.31,0.0,,,,11.845999999999998,0.022000000000000002,0.0,11.533,0.023,0.0,11.487,0.023,0.0,11.435,0.023,0.0,11.495,0.022000000000000002,0.0,11.597000000000001,0.24100000000000002,0.0,8.202,,-1.0,0.655,0.05,0.0,0.313,0.032,0.0,0.046,0.033,0.0,0.359,0.032,0.0,,,14.641541,,,0,2456985.482,,,0,0.0825,,,0.0,0.1945833,,,0.0,,,,,0.94,,,0.0,,,,,0.03369,,,0.0,0.262,,,0.0,2.94,,,0.0,,,,,1
8,EPIC 206024342,2MASS J22050653-1407180,EPIC 206024342.02,,331.277219,0.0,22h05m06.53s,-14.121665,0.0,-14d07m18.0s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,1,3.0,,,,,,,,,5648.0,,,0.0,,,,,,,,,,0.94,,,0.0,,,,,13.046,,0.0,13.770999999999999,0.04,0.0,13.116,0.03,0.0,,,,13.392000000000001,0.04,0.0,12.937000000000001,0.05,0.0,12.897,0.31,0.0,,,,11.845999999999998,0.022000000000000002,0.0,11.533,0.023,0.0,11.487,0.023,0.0,11.435,0.023,0.0,11.495,0.022000000000000002,0.0,11.597000000000001,0.24100000000000002,0.0,8.202,,-1.0,0.655,0.05,0.0,0.313,0.032,0.0,0.046,0.033,0.0,0.359,0.032,0.0,,,0.9116567,,,0,2456980.07,,,0,0.0174,,,0.0,0.07041669999999998,,,0.0,,,,,0.96,,,0.0,,,,,0.01593,,,0.0,0.12,,,0.0,1.35,,,0.0,,,,,1
9,EPIC 206026136,2MASS J22504600-1404116,EPIC 206026136.01,K2-57 b,342.691712,0.0,22h50m46.01s,-14.069885999999999,0.0,-14d04m11.6s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,0,3.0,,,,,,,,,4388.0,,,0.0,,,,,,,,,,0.68,,,0.0,,,,,14.100999999999999,,0.0,15.679,0.04,0.0,14.501,0.05,0.0,,,,15.145,0.04,0.0,14.037,0.01,0.0,13.654000000000002,0.01,0.0,,,,12.35,0.024,0.0,11.761,0.021,0.0,11.645,0.023,0.0,11.585999999999999,0.023,0.0,11.639000000000001,0.021,0.0,11.505999999999998,0.217,0.0,8.579,,-1.0,1.178,0.064,0.0,0.589,0.032,0.0,0.11599999999999999,0.031,0.0,0.705,0.033,0.0,,,9.007156,,,0,2456984.335,,,0,0.118,,,0.0,0.1058333,,,0.0,,,,,0.31,,,0.0,,,,,0.030539999999999998,,,0.0,0.226,,,0.0,2.53,,,0.0,,,,,1
10,EPIC 206026904,2MASS J22151722-1402593,EPIC 206026904.01,K2-58 b,333.821819,0.0,22h15m17.24s,-14.049807999999999,0.0,-14d02m59.3s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,0,3.0,,,,,,,,,4998.0,,,0.0,,,,,,,,,,0.76,,,0.0,,,,,12.15,,0.0,13.317,0.02,0.0,12.378,0.03,0.0,,,,12.808,0.04,0.0,12.072000000000001,0.03,0.0,11.868,0.11,0.0,,,,10.765,0.022000000000000002,0.0,10.314,0.023,0.0,10.215,0.021,0.0,10.19,0.024,0.0,10.257,0.02,0.0,10.177,0.063,0.0,9.11,,-1.0,0.9390000000000001,0.036000000000000004,0.0,0.451,0.032,0.0,0.099,0.031,0.0,0.55,0.03,0.0,,,7.0525273,,,0,2456979.923,,,0,0.1,,,0.0,0.0816667,,,0.0,,,,,0.53,,,0.0,,,,,0.02945,,,0.0,0.23399999999999999,,,0.0,2.62,,,0.0,,,,,1
11,EPIC 206026904,2MASS J22151722-1402593,EPIC 206026904.02,K2-58 c,333.821819,0.0,22h15m17.24s,-14.049807999999999,0.0,-14d02m59.3s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,0,3.0,,,,,,,,,4998.0,,,0.0,,,,,,,,,,0.76,,,0.0,,,,,12.15,,0.0,13.317,0.02,0.0,12.378,0.03,0.0,,,,12.808,0.04,0.0,12.072000000000001,0.03,0.0,11.868,0.11,0.0,,,,10.765,0.022000000000000002,0.0,10.314,0.023,0.0,10.215,0.021,0.0,10.19,0.024,0.0,10.257,0.02,0.0,10.177,0.063,0.0,9.11,,-1.0,0.9390000000000001,0.036000000000000004,0.0,0.451,0.032,0.0,0.099,0.031,0.0,0.55,0.03,0.0,,,2.5370422,,,0,2456979.587,,,0,0.0393,,,0.0,0.0870833,,,0.0,,,,,0.26,,,0.0,,,,,0.017759999999999998,,,0.0,0.146,,,0.0,1.64,,,0.0,,,,,1
12,EPIC 206026904,2MASS J22151722-1402593,EPIC 206026904.03,K2-58 d,333.821819,0.0,22h15m17.24s,-14.049807999999999,0.0,-14d02m59.3s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,0,3.0,,,,,,,,,4998.0,,,0.0,,,,,,,,,,0.76,,,0.0,,,,,12.15,,0.0,13.317,0.02,0.0,12.378,0.03,0.0,,,,12.808,0.04,0.0,12.072000000000001,0.03,0.0,11.868,0.11,0.0,,,,10.765,0.022000000000000002,0.0,10.314,0.023,0.0,10.215,0.021,0.0,10.19,0.024,0.0,10.257,0.02,0.0,10.177,0.063,0.0,9.11,,-1.0,0.9390000000000001,0.036000000000000004,0.0,0.451,0.032,0.0,0.099,0.031,0.0,0.55,0.03,0.0,,,22.881145,,,0,2456998.068,,,0,0.0462,,,0.0,0.1345833,,,0.0,,,,,0.63,,,0.0,,,,,0.02049,,,0.0,0.159,,,0.0,1.78,,,0.0,,,,,1
13,EPIC 206027655,2MASS J22354616-1401398,EPIC 206027655.01,K2-59 b,338.942343,0.0,22h35m46.16s,-14.027745000000001,0.0,-14d01m39.9s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,0,3.0,,,,,,,,,4775.0,,,0.0,,,,,,,,,,0.73,,,0.0,,,,,13.869000000000002,,0.0,15.129000000000001,0.04,0.0,14.225999999999999,0.03,0.0,,,,14.647,0.01,0.0,13.904000000000002,0.01,0.0,13.536,0.09,0.0,,,,12.454,0.023,0.0,11.981,0.021,0.0,11.838,0.023,0.0,11.799000000000001,0.022000000000000002,0.0,11.86,0.022000000000000002,0.0,11.762,0.302,0.0,8.895,,-1.0,0.903,0.05,0.0,0.473,0.031,0.0,0.14300000000000002,0.031,0.0,0.616,0.033,0.0,,,20.698453,,,0,2456987.055,,,0,0.115,,,0.0,0.1220833,,,0.0,,,,,0.68,,,0.0,,,,,0.03279,,,0.0,0.24,,,0.0,2.69,,,0.0,,,,,1
14,EPIC 206027655,2MASS J22354616-1401398,EPIC 206027655.02,K2-59 c,338.942343,0.0,22h35m46.16s,-14.027745000000001,0.0,-14d01m39.9s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,0,3.0,,,,,,,,,4775.0,,,0.0,,,,,,,,,,0.73,,,0.0,,,,,13.869000000000002,,0.0,15.129000000000001,0.04,0.0,14.225999999999999,0.03,0.0,,,,14.647,0.01,0.0,13.904000000000002,0.01,0.0,13.536,0.09,0.0,,,,12.454,0.023,0.0,11.981,0.021,0.0,11.838,0.023,0.0,11.799000000000001,0.022000000000000002,0.0,11.86,0.022000000000000002,0.0,11.762,0.302,0.0,8.895,,-1.0,0.903,0.05,0.0,0.473,0.031,0.0,0.14300000000000002,0.031,0.0,0.616,0.033,0.0,,,11.295158,,,0,2456986.71,,,0,0.0967,,,0.0,0.08,,,0.0,,,,,0.89,,,0.0,,,,,0.03468,,,0.0,0.22,,,0.0,2.47,,,0.0,,,,,1
15,EPIC 206028176,2MASS J22011206-1400524,EPIC 206028176.01,,330.300307,0.0,22h01m12.07s,-14.014557,0.0,-14d00m52.4s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,0,3.0,,,,,,,,,6305.0,,,0.0,,,,,,,,,,1.39,,,0.0,,,,,12.244000000000002,,0.0,12.769,0.03,0.0,12.280999999999999,0.02,0.0,,,,12.469000000000001,0.06,0.0,12.17,0.01,0.0,12.08,0.02,0.0,,,,11.318,0.024,0.0,11.120999999999999,0.022000000000000002,0.0,11.075,0.021,0.0,11.017999999999999,0.023,0.0,11.065999999999999,0.022000000000000002,0.0,10.931,0.12,0.0,8.458,,-1.0,0.488,0.036000000000000004,0.0,0.19699999999999998,0.033,0.0,0.046,0.03,0.0,0.243,0.032,0.0,,,9.3813402,,,0,2456988.13,,,0,0.0358,,,0.0,0.2033333,,,0.0,,,,,0.24,,,0.0,,,,,0.01745,,,0.0,0.255,,,0.0,2.86,,,0.0,,,,,1
16,EPIC 206029450,2MASS J22233189-1358465,EPIC 206029450.01,,335.882932,0.0,22h23m31.90s,-13.979621,0.0,-13d58m46.6s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,1,3.0,,,,,,,,,4335.0,,,0.0,,,,,,,,,,0.67,,,0.0,,,,,15.504000000000001,,0.0,,,,,,,,,,,,,,,,,,,,,,13.591,0.025,0.0,12.897,0.025,0.0,12.834000000000001,0.028999999999999998,0.0,12.725,0.024,0.0,12.710999999999999,0.026000000000000002,0.0,11.885,,-1.0,8.881,,-1.0,,,,0.6940000000000001,0.035,0.0,0.063,0.038,0.0,0.757,0.038,0.0,,,4.2304959,,,0,2456980.943,,,0,0.123,,,0.0,0.08666669999999999,,,0.0,,,,,0.13,,,0.0,,,,,0.03081,,,0.0,0.228,,,0.0,2.56,,,0.0,,,,,1
17,EPIC 206032309,2MASS J22445778-1354031,EPIC 206032309.01,,341.240699,0.0,22h44m57.77s,-13.900920999999999,0.0,-13d54m03.3s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,1,3.0,,,,,,,,,2989.0,,,0.0,,,,,,,,,,0.18,,,0.0,,,,,15.782,,0.0,,,,,,,,,,,,,,,,,,,,,,13.429,0.024,0.0,12.859000000000002,0.027000000000000003,0.0,12.538,0.026000000000000002,0.0,,,,,,,,,,,,,,,,0.57,0.036000000000000004,0.0,0.321,0.037000000000000005,0.0,0.8909999999999999,0.035,0.0,,,4.1107634,,,0,2456982.769,,,0,0.263,,,0.0,0.05458330000000001,,,0.0,,,,,0.0,,,0.0,,,,,0.04665,,,0.0,0.09,,,0.0,1.01,,,0.0,,,,,1
18,EPIC 206038483,2MASS J22342548-1343541,EPIC 206038483.01,K2-60 b,338.606184,0.0,22h34m25.48s,-13.731701999999999,0.0,-13d43m54.1s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,0,3.0,,,,,,,,,5425.0,,,0.0,,,,,,,,,,0.86,,,0.0,,,,,12.59,,0.0,13.562000000000001,0.01,0.0,12.789000000000001,0.02,0.0,,,,13.117,0.03,0.0,12.567,0.040999999999999995,0.0,12.364,0.05,0.0,,,,11.41,0.021,0.0,11.085,0.025,0.0,10.993,0.021,0.0,10.982999999999999,0.023,0.0,11.019,0.021,0.0,10.919,0.122,0.0,8.972000000000001,,-1.0,0.773,0.022000000000000002,0.0,0.325,0.033,0.0,0.092,0.033,0.0,0.41700000000000004,0.03,0.0,,,3.0026376,,,0,2456982.06,,,0,0.479,,,0.0,0.1295833,,,0.0,,,,,0.19,,,0.0,,,,,0.0624,,,0.0,0.575,,,0.0,6.45,,,0.0,,,,,1
19,EPIC 206042996,2MASS J22300326-1336364,EPIC 206042996.01,,337.513575,0.0,22h30m03.26s,-13.610113,0.0,-13d36m36.4s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,1,3.0,,,,,,,,,3893.0,,,0.0,,,,,,,,,,0.57,,,0.0,,,,,16.061,,0.0,18.347,0.24,0.0,16.743,0.08900000000000001,0.0,,,,17.37,0.13,0.0,16.004,0.02,0.0,15.5,0.09,0.0,,,,13.964,0.025,0.0,13.253,0.027999999999999997,0.0,13.071,0.033,0.0,13.04,0.024,0.0,13.081,0.03,0.0,11.794,,-1.0,8.615,,-1.0,1.604,0.256,0.0,0.711,0.038,0.0,0.182,0.043,0.0,0.893,0.040999999999999995,0.0,,,0.35490972,,,0,2456979.732,,,0,0.0553,,,0.0,0.0445833,,,0.0,,,,,0.25,,,0.0,,,,,0.02145,,,0.0,0.129,,,0.0,1.45,,,0.0,,,,,1
20,EPIC 206044803,2MASS J22384194-1333360,EPIC 206044803.01,K2-61 b,339.67474300000003,0.0,22h38m41.94s,-13.560023999999999,0.0,-13d33m36.1s,CONFIRMED,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,0,3.0,,,,,,,,,5680.0,,,0.0,,,,,,,,,,0.95,,,0.0,,,,,12.975,,0.0,13.689,0.05,0.0,12.991,0.02,0.0,,,,13.292,0.04,0.0,12.824000000000002,0.01,0.0,12.839,0.46,0.0,,,,11.758,0.022000000000000002,0.0,11.423,0.021,0.0,11.385,0.024,0.0,11.328,0.023,0.0,11.378,0.021,0.0,11.173,0.168,0.0,8.607999999999999,,-1.0,0.698,0.054000000000000006,0.0,0.335,0.03,0.0,0.038,0.032,0.0,0.373,0.033,0.0,,,2.5735352,,,0,2456980.638,,,0,0.0348,,,0.0,0.10875,,,0.0,,,,,0.3,,,0.0,,,,,0.01706,,,0.0,0.17300000000000001,,,0.0,1.94,,,0.0,,,,,1
21,EPIC 206049452,2MASS J22180636-1326145,EPIC 206049452.01,,334.52654,0.0,22h18m06.37s,-13.437335999999998,0.0,-13d26m14.4s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,1,3.0,,,,,,,,,4521.0,,,0.0,,,,,,,,,,0.7,,,0.0,,,,,13.13,,0.0,,,,,,,,,,,,,,,,,,,,,,11.411,0.023,0.0,10.8,0.024,0.0,10.717,0.025,0.0,10.513,0.023,0.0,10.55,0.021,0.0,10.469000000000001,0.076,0.0,8.878,0.494,0.0,,,,0.611,0.033,0.0,0.083,0.035,0.0,0.6940000000000001,0.034,0.0,,,14.454495,,,0,2456989.197,,,0,0.0843,,,0.0,0.0920833,,,0.0,,,,,0.76,,,0.0,,,,,0.029230000000000003,,,0.0,0.19699999999999998,,,0.0,2.21,,,0.0,,,,,1
22,EPIC 206049764,2MASS J22092179-1325438,EPIC 206049764.01,,332.340822,0.0,22h09m21.80s,-13.428865,0.0,-13d25m43.9s,CANDIDATE,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv151107820V target=ref>Vanderburg et al. 2015</a>,,1,3.0,,,,,,,,,5032.0,,,0.0,,,,,,,,,,0.77,,,0.0,,,,,12.445,,0.0,13.525,0.02,0.0,12.66,0.04,0.0,,,,13.073,0.01,0.0,12.395999999999999,0.02,0.0,12.175999999999998,0.02,0.0,,,,11.100999999999999,0.024,0.0,10.614,0.023,0.0,10.529000000000002,0.025,0.0,10.459000000000001,0.023,0.0,10.522,0.02,0.0,10.42,0.09300000000000001,0.0,8.898,,-1.0,0.865,0.045,0.0,0.48700000000000004,0.033,0.0,0.085,0.034,0.0,0.5720000000000001,0.035,0.0,,,5.6315915,,,0,2456979.452,,,0,0.0217,,,0.0,0.27958330000000003,,,0.0,,,,,0.54,,,0.0,,,,,0.01372,,,0.0,0.11,,,0.0,1.23,,,0.0,,,,,1
